,Lmtd
702,3.0536177
703,3.0539612999999997
704,3.0561488
705,3.0571322
706,3.0572395
707,3.0585433999999996
708,3.0593114
709,3.0597578999999997
710,3.0597796
711,3.0599903999999998
712,3.0641856
713,3.0646026
714,3.0665972000000004
715,3.0668187000000002
716,3.0683346
717,3.0684322999999996
718,3.0695045
719,3.0701468
720,3.0707278
721,3.0721397
722,3.0725851000000004
723,3.0727985
724,3.0760113999999996
725,3.07654
726,3.0771379
727,3.0776186
728,3.0794852
729,3.0795429
730,3.0799725
731,3.0804612999999996
732,3.0824537
733,3.0831244
734,3.0831583
735,3.0875237
736,3.0876124
737,3.089093
738,3.0894105
739,3.0912685
740,3.0916857999999996
741,3.0918276000000002
742,3.0926847
743,3.0974081
744,3.0980318
745,3.0987007999999996
746,3.0998509
747,3.1018624
748,3.1025479
749,3.1028382999999997
750,3.1029284
751,3.1030502
752,3.1034328999999996
753,3.1034837000000004
754,3.1037494999999997
755,3.1039004
756,3.104531
757,3.1052158
758,3.1056442000000004
759,3.1070547000000004
760,3.1080527
761,3.1084153999999997
762,3.1093137000000004
763,3.1098189
764,3.1105831000000004
765,3.110867
766,3.1124711
767,3.1125665000000002
768,3.1138744
769,3.1151609000000002
770,3.1162806
771,3.1174176
772,3.1178186
773,3.1180982999999998
774,3.1183292999999996
775,3.1195104
776,3.1208093
777,3.1210902000000003
778,3.1212444
779,3.1231212999999998
780,3.1235687999999997
781,3.1252127
782,3.1264224
783,3.1267872000000003
784,3.1268687
785,3.1275394
786,3.1279385
787,3.1287527
788,3.1301224
789,3.1367277999999996
790,3.1372519
791,3.1386745
792,3.1389115000000003
793,3.1392248
794,3.1394737
795,3.1428375
796,3.1428842999999995
797,3.1445722999999997
798,3.1446555
799,3.1453915
800,3.1455722
801,3.1466507999999997
802,3.1472572999999997
803,3.1487505000000002
804,3.150816
805,3.1554868
806,3.1562681
807,3.1580265
808,3.1588347000000003
809,3.1608009
810,3.1616673
811,3.1639308999999995
812,3.1641021
813,3.1645187999999997
814,3.1647577
815,3.165092
816,3.1665928
817,3.1677487
818,3.1680367
819,3.1691396000000003
820,3.1692097
821,3.169498
822,3.1695759
823,3.1714792000000003
824,3.1729341
825,3.1746974
826,3.1748691000000004
827,3.1751828
828,3.1752064
829,3.1764894
830,3.1780701000000002
831,3.1783834
832,3.1828229
833,3.1842493999999997
834,3.1847684
835,3.1856396
836,3.1861898999999996
837,3.1910397999999995
838,3.1918859
839,3.1933401000000003
840,3.1957827
841,3.1963348
842,3.1985718999999997
843,3.199122
844,3.2048947999999995
845,3.2055477999999997
846,3.2067482000000003
847,3.2073177999999998
848,3.208205
849,3.2086923
850,3.2117915
851,3.2135186
852,3.2139816000000003
853,3.2140419
854,3.2142977999999998
855,3.2147403
856,3.2161622000000003
857,3.2184037999999995
858,3.2194436
859,3.2196382999999997
860,3.2201641
861,3.2212397999999998
862,3.2214118999999997
863,3.2217607000000004
864,3.2217834
865,3.2221959
866,3.224581
867,3.2251542
868,3.2255414
869,3.2265467999999995
870,3.2265761000000004
871,3.226934
872,3.2276185
873,3.2303767000000003
874,3.2320043999999997
875,3.2346392
876,3.2372217
877,3.2372525000000003
878,3.238209
879,3.2396941000000004
880,3.2400078999999997
881,3.2402017000000005
882,3.2415957000000004
883,3.2431836
884,3.2442898999999996
885,3.2449574
886,3.2458633999999997
887,3.2462432
888,3.2467873
889,3.2507634
890,3.250984
891,3.2517414000000002
892,3.2518543999999996
893,3.2537502999999997
894,3.2546725
895,3.2551734
896,3.2557423
897,3.2575839
898,3.2577372
899,3.2577455
900,3.2582883999999996
901,3.2589482999999997
902,3.2595401
903,3.2605693
904,3.2612267000000004
905,3.2612789
906,3.2615404
907,3.2623985
908,3.2631106
909,3.2635016
910,3.2674036
911,3.2680261
912,3.2687752
913,3.2689376
914,3.2689947999999998
915,3.2692931
916,3.269516
917,3.2696602
918,3.2710061
919,3.2763447999999995
920,3.2769867999999995
921,3.2795866
922,3.2799211
923,3.2814127999999996
924,3.2825997000000005
925,3.2830769999999996
926,3.2834833
927,3.2848217000000006
928,3.2855193999999996
929,3.2855803999999997
930,3.2856227999999996
931,3.2864934999999997
932,3.2866199000000003
933,3.2881546000000004
934,3.2887328
935,3.2889116
936,3.2889559
937,3.2906150999999997
938,3.2916922999999993
939,3.2926083
940,3.2942703
941,3.2946699
942,3.2951343
943,3.2953229
944,3.2994092000000004
945,3.3002295
946,3.3002597999999996
947,3.3005731
948,3.3009942000000003
949,3.3014864999999998
950,3.3017621
951,3.3032047999999996
952,3.3041834999999997
953,3.3054089999999996
954,3.3057778
955,3.3065437999999996
956,3.3078332
957,3.3081183
958,3.3107655
959,3.3110703999999997
960,3.3144584000000004
961,3.3157036
962,3.3184161
963,3.3184508999999998
964,3.3186579
965,3.3191841
966,3.3205782999999998
967,3.3209553
968,3.3213391000000003
969,3.3226876000000005
970,3.324086
971,3.3288812999999995
972,3.3309002
973,3.3314866999999997
974,3.3315217000000006
975,3.3328763999999995
976,3.3330559999999996
977,3.3333504
978,3.3355789
979,3.3359926
980,3.3362656000000004
981,3.3365934
